OID_,Year,Date,Subregion,Habitat,SiteID,Site_name,StationID,Surveyed_all_years,points,Acropora_cervicornis,Acropora_palmata,Agaricia_fragilis,Agaricia_lamarcki,Cladocora_arbuscula,Colpophyllia_natans,Dendrogyra_cylindrus,Dichocoenia_stokesii,Diploria_labyrinthiformis,Eusmilia_fastigiata,Favia_fragum,Helioseris_cucullata,Isophyllia_rigida,Isophyllia_sinuosa,Madracis_aurentenra,Madracis_decactis_complex,Manicina_areolata,Meandrina_meandrites,Millepora_alcicornis,Millepora_complanata,Montastraea_cavernosa,Mussa_angulosa,Mycetophyllia_aliciae,Mycetophyllia_ferox,Mycetophyllia_lamarckiana_complex,Oculina_diffusa,Oculina_robusta,Orbicella_annularis_complex,Phyllangia_americana,Porites_astreoides,Porites_porites_complex,Pseudodiploria_clivosa,Pseudodiploria_strigosa,Scleractinia,Scolymia_sp,Siderastrea_radians,Siderastrea_siderea,Solenastrea_bournoni,Stephanocoenia_intersepta,Undaria_agaricites_complex,all_species_zero
11,1996,8/14/1996 0:00:00,UK,HB,12,Dove Key,123,N,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,False
12,1996,8/14/1996 0:00:00,UK,HB,12,Dove Key,124,N,599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
13,1996,8/15/1996 0:00:00,MK,HB,14,Long Key,141,N,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.012,0.0,0.0,0.0,0.0,0.006,0.01,0.0,0.0,False
14,1996,8/15/1996 0:00:00,MK,HB,14,Long Key,142,N,562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1246,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,False
15,1996,8/15/1996 0:00:00,MK,HB,14,Long Key,143,N,584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,False
16,1996,8/15/1996 0:00:00,MK,HB,14,Long Key,144,N,570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,0.0105,0.0193,0.0,0.0,0.0,0.0,0.0,0.0,False
17,1996,8/21/1996 0:00:00,MK,HB,15,Moser Channel,151,N,734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
18,1996,8/21/1996 0:00:00,MK,HB,15,Moser Channel,152,N,625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
19,1996,8/21/1996 0:00:00,MK,HB,15,Moser Channel,153,N,615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,False
20,1996,8/21/1996 0:00:00,MK,HB,15,Moser Channel,154,N,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
21,1996,8/19/1996 0:00:00,MK,HB,16,Molasses Keys,161,N,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
22,1996,8/19/1996 0:00:00,MK,HB,16,Molasses Keys,162,N,538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
23,1996,8/19/1996 0:00:00,MK,HB,16,Molasses Keys,163,N,526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
24,1996,8/19/1996 0:00:00,MK,HB,16,Molasses Keys,164,N,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
25,1996,9/10/1996 0:00:00,LK,BCP,18,Content Keys,181,Y,584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,False
26,1996,9/10/1996 0:00:00,LK,BCP,18,Content Keys,182,N,678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,False
27,1996,9/10/1996 0:00:00,LK,BCP,18,Content Keys,183,Y,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
28,1996,9/10/1996 0:00:00,LK,BCP,18,Content Keys,184,Y,580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
29,1996,7/24/1996 0:00:00,UK,P,30,Turtle,301,Y,599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0033,0.0017,0.0,0.0,0.0117,0.0,0.0,0.0117,0.0,0.0,0.0033,False
30,1996,7/24/1996 0:00:00,UK,P,30,Turtle,302,Y,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221,0.0025,0.0,0.0098,0.0049,0.0,0.0,0.0074,0.0,0.0,0.0147,False
31,1996,7/25/1996 0:00:00,UK,P,30,Turtle,303,N,505,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0079,0.0,0.0,0.0713,0.0,0.0,0.002,0.0,0.0,0.0119,False
32,1996,7/25/1996 0:00:00,UK,P,30,Turtle,304,N,476,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0021,0.0,0.0,0.0,0.0021,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252,0.0,0.0,0.0021,False
33,1996,7/19/1996 0:00:00,UK,P,32,Porter Patch,321,Y,585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,False
34,1996,7/19/1996 0:00:00,UK,P,32,Porter Patch,322,Y,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.01,0.0,0.0,0.0,False
35,1996,7/19/1996 0:00:00,UK,P,32,Porter Patch,323,Y,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,False
36,1996,7/19/1996 0:00:00,UK,P,32,Porter Patch,324,N,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0203,0.0,0.0,0.0,0.0,0.0,0.0,False
37,1996,7/23/1996 0:00:00,UK,P,33,Admiral,331,Y,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3822,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,False
38,1996,7/23/1996 0:00:00,UK,P,33,Admiral,332,Y,539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4694,0.0,0.0037,0.0,0.0,0.0,0.0019,0.0,0.0,0.0111,0.0,0.0,0.0,False
39,1996,7/23/1996 0:00:00,UK,P,33,Admiral,333,Y,549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2568,0.0,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0018,False
40,1996,7/23/1996 0:00:00,UK,P,33,Admiral,334,Y,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,False
41,1996,8/27/1996 0:00:00,MK,P,34,West Turtle Shoal,341,Y,481,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0042,0.0,0.0042,0.0083,0.0,0.0,0.0499,0.0,0.0042,0.0,False
42,1996,8/27/1996 0:00:00,MK,P,34,West Turtle Shoal,342,Y,603,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0017,0.0,0.0,0.005,0.0,0.0,0.0182,0.0,0.0,0.0,False
43,1996,8/17/1996 0:00:00,MK,P,34,West Turtle Shoal,343,Y,600,0.0117,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0,0.0017,0.0,0.0,0.0117,0.0967,0.0,0.0,0.0083,0.0,0.0033,0.0017,False
44,1996,8/27/1996 0:00:00,MK,P,34,West Turtle Shoal,344,Y,512,0.0,0.0,0.0,0.0,0.0,0.0371,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.002,0.0,0.1191,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0059,0.0,0.0,0.0254,0.0,0.0,0.0,False
45,1996,8/20/1996 0:00:00,MK,P,35,Dustan Rocks,351,N,560,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0054,0.0,0.0196,0.0,0.0107,0.0,0.0,0.0,0.025,0.0,0.0196,0.0,0.0,0.0,0.0,False
46,1996,8/20/1996 0:00:00,MK,P,35,Dustan Rocks,352,Y,502,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0837,0.0,0.0,0.0,0.0,0.0,0.0,0.0239,0.0,0.0498,0.0,0.0,0.0,0.004,0.0,0.0,0.0398,0.0,0.0,0.002,False
47,1996,8/20/1996 0:00:00,MK,P,35,Dustan Rocks,353,Y,577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0,0.0173,0.0,0.0,0.0,0.0,0.0,0.0035,0.0537,0.0,0.0,0.0,False
48,1996,8/20/1996 0:00:00,MK,P,35,Dustan Rocks,354,Y,558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0376,0.0,0.0,0.0018,False
49,1996,9/10/1996 0:00:00,LK,P,36,West Washer Women,361,Y,624,0.0,0.0,0.0,0.0,0.0,0.1042,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0785,0.0,0.0,0.0,0.0032,0.0,0.0,0.0401,0.0,0.0064,0.0032,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0048,0.0016,False
50,1996,9/10/1996 0:00:00,LK,P,36,West Washer Women,362,N,567,0.0,0.0,0.0,0.0,0.0,0.0688,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0176,0.0212,0.0,0.0,0.1217,0.0,0.0,0.0,False
51,1996,9/10/1996 0:00:00,LK,P,36,West Washer Women,363,Y,593,0.0,0.0,0.0,0.0,0.0,0.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.1147,0.0,0.0,0.0084,0.0,0.0,0.0,0.0455,0.0,0.0051,0.0,0.0,0.0,0.0101,0.0,0.0,0.086,0.0,0.0,0.0,False
52,1996,9/10/1996 0:00:00,LK,P,36,West Washer Women,364,N,518,0.0,0.0,0.0,0.0,0.0,0.1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0116,0.0019,0.0,0.0,0.0174,0.0,0.0,0.0174,0.0,0.0,0.0,False
53,1996,6/7/1996 0:00:00,LK,P,37,Western Head,371,N,507,0.0,0.0,0.0,0.0,0.0,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0394,0.0,0.0059,0.0,0.0,0.0,0.0178,0.0,0.0,0.071,0.0,0.0,0.0,False
54,1996,6/7/1996 0:00:00,LK,P,37,Western Head,372,Y,498,0.0,0.0,0.0,0.0,0.0,0.0482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0321,0.0,0.0,0.0,False
55,1996,6/7/1996 0:00:00,LK,P,37,Western Head,373,Y,442,0.0,0.0,0.0,0.0,0.0,0.0317,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.1787,0.0045,0.0023,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0,0.0,0.0045,0.009,0.0,0.0,0.0362,0.0023,0.0,0.0,False
56,1996,6/7/1996 0:00:00,LK,P,37,Western Head,374,Y,590,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1203,0.0,0.0,0.0,0.0,0.0136,0.0,0.0169,0.0,0.0017,0.0,0.0,0.0203,0.0339,0.0,0.0017,0.0186,0.0,0.0017,0.0,False
57,1996,6/7/1996 0:00:00,LK,P,38,Cliff Green,381,N,521,0.0,0.0,0.0,0.0,0.0,0.0211,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.0672,0.0019,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0038,0.0,0.0,0.0,0.048,0.0,0.0,0.0134,0.0,0.0,0.0,False
58,1996,6/7/1996 0:00:00,LK,P,38,Cliff Green,382,N,514,0.0,0.0,0.0,0.0,0.0,0.0253,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0798,0.0,0.0039,0.0,0.0,0.0,0.0,0.0331,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0019,0.0331,0.0,0.0,0.0039,False
59,1996,6/8/1996 0:00:00,LK,P,38,Cliff Green,383,Y,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.1165,0.0,0.0,0.0,0.004,0.0,0.0,0.0201,0.0,0.0,0.0,0.002,0.0,0.006,0.0,0.0,0.0181,0.002,0.0,0.0,False
60,1996,6/8/1996 0:00:00,LK,P,38,Cliff Green,384,Y,543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0773,0.0,0.0,0.0,0.0055,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0773,0.0092,0.0,0.0,0.0055,0.0,0.0018,0.0,False
61,1996,6/13/1996 0:00:00,LK,BCP,39,Smith Shoal,391,N,495,0.0,0.0,0.0,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,False
62,1996,6/13/1996 0:00:00,LK,BCP,39,Smith Shoal,392,Y,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532,0.0,0.0355,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0089,False
63,1996,6/13/1996 0:00:00,LK,BCP,39,Smith Shoal,393,Y,550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0091,0.0,0.0,0.0,0.0,0.0018,0.0,0.0145,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0036,False
